Stock,source,Year,Rev2013,Council,Lab,Record,Habitat,Bycatch,Diet,Predator,Climate,TechInt,Competition,OF2001,OF0105,OF10-14,OF2014,Sptype,DietLab
Winter Flounder - Gulf of Maine,web,2008,9626908,NEFMC,NEFSC,KM,0,0,0,0,0,3,0,0,Not Overfished,Overfished,0,groundfish,Diet Lab
Winter flounder - Southern New England / Mid-Atlantic,web,2011,273016,NEFMC,NEFSC,KM,1,0,0,2,3,3,0,0,Overfished,Overfished,1,groundfish,Diet Lab
Witch Flounder,web,2008,3735330,NEFMC,NEFSC,KM,0,0,0,0,0,3,0,0,Not Overfished,Overfished,1,groundfish,Diet Lab
Yellowtail flounder - Cape Cod / Gulf of Maine,web,2008,3956805,NEFMC,NEFSC,KM,0,0,0,0,0,3,0,0,Overfished,Overfished,1,groundfish,Diet Lab
Yellowtail flounder - Georges Bank,web,2014,3956805,NEFMC,NEFSC,KM,1,0,0,0,0,3,0,0,Not Overfished,Overfished,1,groundfish,Diet Lab
Yellowtail flounder- Southern New England / Mid-Atlantic,web,2012,243122,NEFMC,NEFSC,KM,1,0,0,1,3,3,0,0,Overfished,Overfished,0,groundfish,Diet Lab
Alaska Plaice,web,2014,8315893,NPFMC,AFSC,KM,0,1,2,1,3,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Arrowtooth flounder BSAI,web,2014,9147441,NPFMC,AFSC,LK,1,2,2,2,3,3,1,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Arrowtooth Flounder GOA ,web,2013,9147441,NPFMC,AFSC,KM,1,0,2,2,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Blackspotted AND Rougheye Rockfish - BSAI (2008),RAM,2008,8478399,NPFMC,AFSC,LK,0,0,0,0,0,2,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Deepwater Flatfish GOA,web,2013,30657,NPFMC,AFSC,KM,1,0,0,0,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Demersal shelf rockfish complex (GOA - includes Yelloweye),web,2014,8478399,NPFMC,AFSC,LK,3,0,1,1,1,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Dusky Rockfish GOA,web,2013,8478399,NPFMC,AFSC,KM,1,2,1,1,1,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Flathead sole (BSAI),web,2014,7565629,NPFMC,AFSC,LK,1,2,2,2,3,0,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Flathead sole (GOA),RAM,2009,7565629,NPFMC,AFSC,LK,1,0,2,2,0,1,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Greenland Turbot (or halibut) - BSAI,web,2014,1520419,NPFMC,AFSC,LK,1,0,0,1,1,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Kamchatka flounder (BSAI),web,2014,8315893,NPFMC,AFSC,LK,1,1,1.5,1,3,1,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Northern rock sole Eastern Bering Sea and Aleutian Islands,RAM,2012,32735842,NPFMC,AFSC,KM,3,2,2,1,1,2,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Northern rockfish (BSAI),web,2014,8478399,NPFMC,AFSC,LK,1,0,2,1,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Northern rockfish (GOA),web,2014,8478399,NPFMC,AFSC,LK,1,2,1,1,1,0,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
