Stock,source,Year,Rev2013,Council,Lab,Record,Habitat,Bycatch,Diet,Predator,Climate,TechInt,Competition,OF2001,OF0105,OF10-14,OF2014,Sptype,DietLab
Chinook salmon - Columbia River Basin: Lower River Hatchery Spring,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Columbia River Basin: Mid-River Bright Hatchery Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Columbia River Basin: North Lewis River Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Columbia River Basin: Snake River Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Columbia River Basin: Snake River Spring/Summer,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Columbia River Basin: Spring Creek Hatchery Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Columbia River Basin: Upper River Bright Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Columbia River Basin: Upper River Spring,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Columbia River Basin: Upper River Summer,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Columbia River Basin: Upper Willamette Spring,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Northern California Coast: Klamath River Fall,web,2014,22956869,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Oregon Coast: Central and Northern Oregon,web,2014,11903199,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Oregon Coast: Southern Oregon,web,2014,11903199,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Puget Sound: Cedar River Summer/Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Puget Sound: Eastern Strait of Juan de Fuca Summer/Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Puget Sound: Green River Summer/Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Puget Sound: Nooksack Spring Early,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Puget Sound: Puyallup Summer/Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Puget Sound: Skagit Spring,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Puget Sound: Skagit Summer/Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Puget Sound: Snohomish Summer/Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,3,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Puget Sound: Stillaguamish Summer/Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,3,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Puget Sound: White River Spring,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Washington Coast: Hoko Summer/Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Washington Coast: Queets Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Washington Coast: Quinault Fall Hatchery,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Washington Coast: Willapa Bay Fall Hatchery,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Washington Coast: Willapa Bay Fall Natural,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Oregon Production Index Area: Columbia River Early Hatchery,web,2014,503191,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Oregon Production Index Area: Columbia River Late Hatchery,web,2014,503191,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Oregon Production Index Area: Lower Columbia Natural,web,2014,503191,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Oregon Production Index Area: Oregon Coast Natural,web,2014,503191,PFMC,NW-SW,KM,1,1,0,1,3,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Puget Sound: Hood Canal,web,2014,6047229,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Puget Sound: Skagit,web,2014,6047229,PFMC,NW-SW,KM,1,1,0,1,3,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Puget Sound: Snohomish,web,2014,6047229,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Puget Sound: South Puget Sound Hatchery,web,2014,6047229,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Puget Sound: Stillaguamish,web,2014,6047229,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Washington Coast: Grays Harbor,web,2014,6047229,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Washington Coast: Hoh,web,2014,6047229,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Washington Coast: Queets,web,2014,6047229,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Washington Coast: Quillayute Fall,web,2014,6047229,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Washington Coast: Quillayute Summer Hatchery,web,2014,6047229,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Washington Coast: Strait of Juan de Fuca,web,2014,6047229,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Washington Coast: Willapa Bay Hatchery,web,2014,6047229,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Coho salmon - Washington Coast: Willapa Bay Natural,web,2014,6047229,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Pacific Chub Mackerel - Pacific Coast,web,2014,1633673,PFMC,SWFSC,KM,1,0,1,1,2,2,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Cobia South Atlantic,WEB,2013,285188,SAFMC,SEFSC,KM,0,0,0,0,1,3,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
King Mackerel South Atlantic,WEB,2014,5213393,SAFMC,SEFSC,KM,1,0,1,0,3,3,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Spanish Mackerel South Atlantic,RAM,2008,3696665,SAFMC,SEFSC,KM,0,0,0,0,1,1,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
