Stock,source,Year,Rev2013,Council,Lab,Record,Habitat,Bycatch,Diet,Predator,Climate,TechInt,Competition,OF2001,OF0105,OF10-14,OF2014,Sptype,DietLab,Hab.comm,Clim.comm
Coho salmon - Oregon Production Index Area: Columbia River Late Hatchery,web,2014,125797.75,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Coho salmon - Oregon Production Index Area: Lower Columbia Natural,web,2014,125797.75,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Sablefish Pacific Coast,RAM,2011,19572546,PFMC,NW-SW,KM,1,0,1,1,3,3,0,0,0,0,0,groundfish,0,NA,env drivers recruitment
Atlantic Halibut - Northwestern Atlantic,web,2008,505826,NEFMC,NEFSC,KM,0,0,0,0,0,3,0,1,1,1,1,groundfish,1,NA,NA
Cabezon California and Oregon Coast,RAM,2009,512962,PFMC,NW-SW,KM,1,0,0,0,1,0,0,0,0,0,0,groundfish,0,NA,NA
Black rockfish - Northern Pacific Coast,web,2007,521283,PFMC,NW-SW,KM,1,0,0,0,1,3,0,0,0,0,0,groundfish,0,NA,NA
Greater Amberjack - South Atlantic,web,2008,613151,SAFMC,SEFSC,KM,1,0,0,0,0,3,0,0,0,0,0,groundfish,0,NA,NA
Blueline Tilefish South Atlantic,WEB,2013,624716,SAFMC,SEFSC,KM,2,0,1,0,2,1,0,0,0,0,1,groundfish,0,NA,NA
Longnose skate - Pacific Coast,web,2007,904387,PFMC,NW-SW,KM,1,0,0,0,0,3,0,0,0,0,0,groundfish,0,NA,NA
Greater Amberjack Gulf of Mexico,WEB,2014,1048361,GMFMC,SEFSC,KM,1,0,0,0,0,0,0,1,1,1,1,pelagic,0,NA,NA
Northern Shortfin Squid Eastern Shelf,RAM,2006,1131530,MAFMC,NEFSC,KM,0,0,0,0,0,0,0,0,0,0,0,forage,1,NA,NA
Lingcod Pacific Coast ,RAM,2009,1239079,PFMC,NW-SW,KM,1,0,1,1,1,3,0,1,1,0,0,groundfish,0,NA,NA
Spanish mackerel Gulf of Mexico,RAM,2013,1352430,GMFMC,SEFSC,KM,0,0,0,0,0,3,0,0,0,0,0,pelagic,0,NA,NA
Black Sea Bass - South Atlantic,web,2011,1407192,SAFMC,SEFSC,KM,3,0,0,0,1,3,0,1,1,1,0,groundfish,0,habitat filter,NA
Rougheye and Blackspotted Rockfish,web,2013,1535174,PFMC,NW-SW,KM,1,0,1,1,1,3,0,0,0,0,0,groundfish,0,NA,NA
Pacific Chub Mackerel - Pacific Coast,web,2014,1633673,PFMC,SWFSC,KM,1,0,1,1,2,2,0,0,0,0,0,pelagic,0,NA,NA
Winter flounder - Southern New England / Mid-Atlantic,web,2011,273016,NEFMC,NEFSC,KM,1,0,0,2,3,3,0,0,1,1,1,groundfish,1,NA,env drivers recruitment 
Tilefish - South Atlantic,web,2011,1668022,SAFMC,SEFSC,KM,3,0,0,0,0,0,0,1,1,0,0,groundfish,0,habitat filter,NA
Gag - South Atlantic,web,2006,1882561,SAFMC,SEFSC,KM,2,0,0,0,1,0,0,1,0,0,0,groundfish,0,NA,NA
Atlantic Mackerel ,RAM,2006,1923049,MAFMC,NEFSC,KM,0,0,0,2,2,0,0,0,0,0,0,pelagic,1,NA,NA
King Mackerel Gulf of Mexico,WEB,2014,1956045,GMFMC,SEFSC,KM,1,0,1,0,2,3,0,0,0,0,0,pelagic,0,NA,NA
Spiny dogfish - Atlantic Coast,web,2006,2117991,NE-Mid,NEFSC,KM,1,0,1,0,2,3,0,1,1,0,0,groundfish,1,NA,NA
bluefish - atlantic coast,web,2005,2253518,MAFMC,NEFSC,KM,1,0,0,0,0,0,0,1,1,0,0,groundfish,1,NA,NA
Winter flounder - George's Bank,web,2011,4813454,NEFMC,NEFSC,KM,1,0,0,2,3,3,0,0,0,1,0,groundfish,1,NA,env drivers recruitment 
Alaska Plaice,web,2014,2771964.333,NPFMC,AFSC,KM,0,1,2,1,3,3,0,0,0,0,0,groundfish,1,NA,IRA bottom temp
Yellowedge grouper Gulf of Mexico,RAM,2011,3030992,GMFMC,SEFSC,KM,3,0,0,0,0,2,0,0,0,0,0,groundfish,0,habitat filter,NA
"Shortspine Thornyhead - Washington, Oregon, California 2013",web,2013,3171584,PFMC,NW-SW,KM,1,0,1,1,0,0,0,0,0,0,0,groundfish,0,NA,NA
Spanish Mackerel South Atlantic,RAM,2008,3696665,SAFMC,SEFSC,KM,0,0,0,0,1,1,0,0,0,0,0,pelagic,0,NA,NA
Witch Flounder,web,2008,3735330,NEFMC,NEFSC,KM,0,0,0,0,0,3,0,0,0,1,1,groundfish,1,NA,NA
Yellowtail flounder - Cape Cod / Gulf of Maine,web,2008,1978402.5,NEFMC,NEFSC,KM,0,0,0,0,0,3,0,0,1,1,1,groundfish,1,NA,NA
Yellowtail flounder - Georges Bank,web,2014,1978402.5,NEFMC,NEFSC,KM,1,0,0,0,0,3,0,0,0,1,1,groundfish,1,NA,NA
Vermilion Snapper - Gulf of Mexico,web,2006,4001792,GMFMC,SEFSC,KM,3,0,0,1,0,3,0,0,1,0,0,groundfish,0,habitat filter,NA
American Plaice - Gulf of Maine / George's Bank,web,2008,4688995,NEFMC,NEFSC,KM,0,0,0,0,0,3,0,0,1,0,0,groundfish,1,NA,NA
Monkfish Southern Georges Bank / Mid-Atlantic,RAM,2010,5137183,NE-Mid,NEFSC,KM,1,0,2,0,2,3,1,1,1,0,0,groundfish,1,NA,NA
Yellowtail Snapper - Gulf of Mexico,RAM,2012,5541535,SA-GM,SEFSC,KM,3,0,0,1,1,1,0,0,0,0,0,groundfish,0,habitat filter,NA
Golden Tilefish Mid-Atlantic Coast,RAM,2014,5873341,MAFMC,NEFSC,KM,2,0,0,0,2,2,1,1,1,0,0,groundfish,1,NA,NA
Haddock George's Bank,web,2008,3001240,NEFMC,NEFSC,KM,0,0,0,0,0,3,0,0,1,0,0,groundfish,1,NA,NA
Haddock Gulf of Maine,web,2014,3001240,NEFMC,NEFSC,KM,1,0,0,0,2,3,0,0,1,0,0,groundfish,1,NA,NA
Coho salmon - Puget Sound: Hood Canal,web,2014,465171.4615,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Butterfish,RAM,2014,1661267,NEFMC,NEFSC,KM,1,0,1,3,3,3,0,0,1,1,0,forage,1,NA,IRA temp
Coho salmon - Puget Sound: Snohomish,web,2014,465171.4615,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Coho salmon - Puget Sound: South Puget Sound Hatchery,web,2014,465171.4615,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Coho salmon - Puget Sound: Stillaguamish,web,2014,465171.4615,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Coho salmon - Washington Coast: Grays Harbor,web,2014,465171.4615,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Coho salmon - Washington Coast: Hoh,web,2014,465171.4615,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Coho salmon - Washington Coast: Queets,web,2014,465171.4615,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Coho salmon - Washington Coast: Quillayute Fall,web,2014,465171.4615,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Coho salmon - Washington Coast: Quillayute Summer Hatchery,web,2014,465171.4615,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Coho salmon - Washington Coast: Strait of Juan de Fuca,web,2014,465171.4615,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Coho salmon - Washington Coast: Willapa Bay Hatchery,web,2014,465171.4615,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Coho salmon - Washington Coast: Willapa Bay Natural,web,2014,465171.4615,PFMC,NW-SW,KM,1,1,0,1,0,2,0,0,0,0,0,pelagic,0,NA,NA
Petrale sole Pacific Coast,web,2013,6179659,PFMC,NW-SW,KM,1,1,1,1,1,0,0,0,0,1,0,groundfish,0,NA,NA
White hake - Gulf of Maine / Georges Bank,web,2013,6484444,NEFMC,NEFSC,KM,1,0,0,0,0,3,0,0,1,1,0,groundfish,1,NA,NA
black sea bass,RAM,2009,6602229,NEFMC,NEFSC,KM,0,0,0,0,3,0,0,0,0,0,0,groundfish,1,NA,IRA temp
Northeast skate species complex,RAM,2007,3669652.5,NEFMC,NEFSC,KM,0,0,2,0,0,1,0,0,0,0,0,groundfish,1,NA,NA
Skate species,RAM,2009,3669652.5,NEFMC,NEFSC,KM,0,0,0,0,0,1,0,1,1,1,1,groundfish,1,NA,NA
Gag Gulf of Mexico,WEB,2014,2830502,GMFMC,SEFSC,KM,0,0,1,2,3,3,0,0,0,1,0,groundfish,0,NA,mortality red tide index
Dover Sole Pacific Coast,RAM,2011,7738458,PFMC,NW-SW,KM,1,0,1,0,1,0,0,0,0,0,0,groundfish,0,NA,NA
Atlantic herring,web,2012,31850145,NEFMC,NEFSC,KM,1,0,0,3,3,0,0,0,0,0,0,forage,1,NA,recruit temp
Tanner Crab Bering Sea,RAM,2013,8106713,NPFMC,AFSC,KM,0,0,0,2,3,3,1,1,1,1,0,Invert,1,NA,regime filter recruitment
Red King Crab Bristol Bay,RAM,2013,16573920.4,NPFMC,ADFG,KM,1,0,0,2,3,3,0,0,0,0,0,Invert,0,habitat filter,regime filter recruitment
Dusky Rockfish GOA,web,2013,770763.5455,NPFMC,AFSC,KM,1,2,1,1,1,3,0,0,0,0,0,groundfish,1,NA,NA
Rougheye and Blackspotted Rockfish BSAI,web,2014,770763.5455,NPFMC,AFSC,KM,0,0,0,0,0,3,0,0,0,0,0,groundfish,1,NA,NA
Red King Crab Pribilof Islands,RAM,2013,16573920.4,NPFMC,AFSC,KM,0,0,0,0,3,3,0,0,0,0,0,Invert,1,NA,regime filter recruitment
Pacific Sardine,web,2014,14819775,PFMC,SWFSC,KM,1,0,0,0,3,3,0,0,0,0,0,forage,0,NA,temp dep assignment to fleets
Arrowtooth Flounder GOA ,web,2013,4573720.5,NPFMC,AFSC,KM,1,0,2,2,0,3,0,0,0,0,0,groundfish,1,NA,NA
Red grouper South Atlantic,RAM,2010,356662,SAFMC,SEFSC,KM,3,0,0,0,3,0,0,1,1,1,0,groundfish,0,habitat filter,temp depend catchability
Winter Flounder - Gulf of Maine,web,2008,4813454,NEFMC,NEFSC,KM,0,0,0,0,0,3,0,0,0,1,0,groundfish,1,NA,NA
scup,RAM,2009,9669109,MAFMC,NEFSC,KM,0,0,0,0,0,0,0,1,1,0,0,forage,1,NA,NA
Atlantic cod Eastern Georges Bank,web,2013,3463679,NEFMC,NEFSC,KM,0,0,0,0,0,3,0,0,0,0,0,groundfish,1,NA,NA
Atlantic cod Georges Bank,RAM,2013,3463679,NEFMC,NEFSC,KM,1,0,0,0,0,0,0,0,1,1,1,groundfish,1,NA,NA
Atlantic cod Gulf of Maine,RAM,2013,3463679,NEFMC,NEFSC,KM,0,0,0,0,0,0,0,0,0,1,1,groundfish,1,NA,NA
Mutton Snapper - South Atlantic and Gulf of Mexico,web,2008,472151,SA-GM,SEFSC,KM,3,0,0,0,3,0,0,0,0,0,0,groundfish,0,habitat filter,temp depend catchability
Chinook salmon - Oregon Coast: Central and Northern Oregon,web,2014,5951599.5,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,0,0,0,pelagic,0,NA,NA
Chinook salmon - Oregon Coast: Southern Oregon,web,2014,5951599.5,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,0,0,0,pelagic,0,NA,NA
Monkfish Gulf of Maine / Northern Georges Bank,RAM,2010,13586447,NE-Mid,NEFSC,KM,1,0,2,0,2,3,1,1,1,0,0,groundfish,1,NA,NA
Pink shrimp Gulf of Mexico,RAM,2012,14678259,GMFMC,SEFSC,KM,0,0,0,0,0,0,0,0,0,0,0,Invert,0,NA,NA
Vermilion Snapper - South Atlantic,web,2008,2995245,SAFMC,SEFSC,KM,0,0,0,0,3,3,0,1,1,0,0,groundfish,0,NA,temp depend catchability
Red Grouper - Gulf of Mexico,web,2006,16221341,GMFMC,SEFSC,KM,3,0,0,1,1,3,0,1,0,0,0,groundfish,0,habitat filter,NA
Chinook salmon - Columbia River Basin: Lower River Hatchery Fall,web,2014,642998.1538,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,0,0,0,pelagic,0,NA,NA
