Stock,source,Year,Rev2013,Council,Lab,Record,Habitat,Bycatch,Diet,Predator,Climate,TechInt,Competition,OF2001,OF0105,OF10-14,OF2014,Sptype,DietLab,Hab.comm,Clim.comm
atlantic wolffish,RAM,2009,NA,NEFMC,NEFSC,KM,1,0,1,0,0,0,0,0,0,1,1,groundfish,1,NA,NA
Sculpin stock complex (BSAI),web,2014,2479,NPFMC,AFSC,LK,1,0,2,2,1,3,0,0,0,0,0,groundfish,1,NA,NA
Sculpin stock complex (GOA),web,2011,2479,NPFMC,AFSC,LK,1,0,2,2,0,0,0,0,0,0,0,groundfish,1,NA,NA
"Starry Flounder off CA., OR., and WA.",RAM,2005,12517,PFMC,NW-SW,LK,3,0,1,0,0,0,0,0,0,0,0,groundfish,0,habitat filter,NA
Blue Rockfish ,RAM,2008,43003,PFMC,NW-SW,KM,3,0,1,1,1,1,0,0,0,0,0,groundfish,0,habitat filter species,NA
Red Porgy,RAM,2006,296981,SAFMC,SEFSC,LK,0,0,0,0,0,0,0,1,1,1,1,groundfish,0,NA,NA
Gopher Rockfish Northern California,RAM,2005,392098,PFMC,NW-SW,LK,1,0,0,1,0,0,0,0,0,0,0,groundfish,0,NA,NA
Yellowtail rockfish Pacific Coast Northern stock (2005),RAM,2005,1323495,PFMC,NW-SW,LK,0,0,0,0,0,3,0,0,0,0,0,groundfish,0,NA,NA
Greenland Turbot (or halibut) - BSAI,web,2014,1520419,NPFMC,AFSC,LK,1,0,0,1,1,3,0,0,0,0,0,groundfish,1,NA,NA
Rex sole (GOA),web,2011,2815691,NPFMC,AFSC,LK,1,2,2,2,1,0,0,0,0,0,0,groundfish,1,NA,NA
Acadian Redfish Gulf of Maine/Georges Bank 2008,RAM,2008,4337163,NEFMC,NEFSC,LK,0,0,0,0,0,0,0,1,1,0,0,groundfish,1,NA,NA
Arrowtooth flounder BSAI,web,2014,4573720.5,NPFMC,AFSC,LK,1,2,2,2,3,3,1,0,0,0,0,groundfish,1,NA,IRA bottom temp
Other skate complex (GOA),web,2014,3170836.5,NPFMC,AFSC,LK,1,0,1,1,0,3,0,0,0,0,0,groundfish,1,NA,NA
Skate complex (BSAI),web,2014,3170836.5,NPFMC,AFSC,LK,1,0,2,2,2,3,0,0,0,0,0,groundfish,1,NA,NA
Flathead sole (GOA),RAM,2009,3782814.5,NPFMC,AFSC,LK,1,0,2,2,0,1,0,0,0,0,0,groundfish,1,NA,NA
Shallow-water flatfish,web,2009,2771964.333,NPFMC,AFSC,LK,0,1,1,0,0,0,0,0,0,0,0,groundfish,1,NA,NA
Blackspotted AND Rougheye Rockfish - BSAI (2008),RAM,2008,770763.5455,NPFMC,AFSC,LK,0,0,0,0,0,2,0,0,0,0,0,groundfish,1,NA,NA
Blackspotted and Rougheye Rockfish (GOA),web,2014,770763.5455,NPFMC ,AFSC,LK,1,2,1,1,1,3,0,0,0,0,0,groundfish,1,NA,NA
Demersal shelf rockfish complex (GOA - includes Yelloweye),web,2014,770763.5455,NPFMC,AFSC,LK,3,0,1,1,1,3,0,0,0,0,0,groundfish,1,habitat density multiplier,NA
Northern rockfish (BSAI),web,2014,770763.5455,NPFMC,AFSC,LK,1,0,2,1,0,3,0,0,0,0,0,groundfish,1,NA,NA
Northern rockfish (GOA),web,2014,770763.5455,NPFMC,AFSC,LK,1,2,1,1,1,0,0,0,0,0,0,groundfish,1,NA,NA
Other rockfish (BSAI),web,2014,770763.5455,NPFMC,AFSC,LK,1,0,1,1,0,3,0,0,0,0,0,groundfish,1,NA,NA
Other rockfish (GOA),web,2011,770763.5455,NPFMC,AFSC,LK,1,1,1,1,1,0,0,0,0,0,0,groundfish,1,NA,NA
Shortraker rockfish (BSAI),web,2014,770763.5455,NPFMC,AFSC,LK,1,0,1,0,0,3,0,0,0,0,0,groundfish,1,NA,NA
Shortraker rockfish (GOA),web,2011,770763.5455,NPFMC,AFSC,LK,1,2,1,1,1,0,0,0,0,0,0,groundfish,1,NA,NA
Atka mackerel (BSAI),web,2014,15279265,NPFMC,AFSC,LK,2,1,2,2,1,3,1,0,0,0,0,forage,1,habitat filter species,NA
Flathead sole (BSAI),web,2014,3782814.5,NPFMC,AFSC,LK,1,2,2,2,3,0,0,0,0,0,0,groundfish,1,NA,temp depend catchability
Kamchatka flounder (BSAI),web,2014,2771964.333,NPFMC,AFSC,LK,1,1,1,1,3,1,0,0,0,0,0,groundfish,1,NA,temp depend catchability
Pacific Ocean Perch (BSAI),web,2014,13081682,NPFMC,AFSC,LK,1,2,2,1,0,0,0,0,0,0,0,groundfish,1,NA,NA
Pacific Ocean Perch (GOA),web,2014,13081682,NPFMC,AFSC,LK,1,2,1,1,1,3,0,0,0,0,0,groundfish,1,NA,NA
Northern/Southern rock sole (GOA),web,2014,16367921,NPFMC,AFSC,LK,1,0,0,0,1,0,0,0,0,0,0,groundfish,1,NA,NA
Walleye pollock Bogoslof,web,2014,101608810,NPFMC,AFSC,LK,1,1,0,1,0,3,0,0,0,0,0,groundfish,1,NA,NA
Walleye pollock Eastern Bering Sea,web,2014,101608810,NPFMC,AFSC,LK,1,2,1,2,2,3,0,0,0,0,0,groundfish,1,NA,NA
Walleye pollock GOA,web,2014,101608810,NPFMC,AFSC,LK,0,2,2,2,1,2,0,0,0,0,0,groundfish,1,NA,NA
Thornyheads (GOA),web,2011,NA,NPFMC,AFSC,LK,1,1,2,2,0,3,0,0,0,0,0,groundfish,1,NA,NA
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Uses higher juvenile mortality - lots of tests/information on predation mortality, not sure if this led to them using the higher juvenile mortality...",,,,,,,,,,,,,
,,,,,,,,,#NAME?,,,,,,,,,,,,
